engine_id,engine_code
1,1.4I Turbo
2,1.6TS
3,2.0TS
4,1.9JTD
5,3.2i-V6
6,1.6 16V
7,1.8 16V
8,2.0 16V
9,2.5 V6
10,1.9 JTD
11,2.4 JTD
12,1750 TBi
13,1.8 mpi
14,1.9 JTS
15,2.2 JTS
16,1.9 JTDM
17,2.0 JTDM
18,2.4 JTDM
19,1.6
20,1.8
21,1.8T
22,2.0
23,2.0TD
24,V6
25,3.2 V6
26,Q4 only
27,1.6i 16V
28,1.8i 16V
29,2.0i 16V
30,2.5i V6
31,3.2i V6
32,3.0-V6 24V
33,3.2-V6 24V
34,1.4i
35,1.4T
36,1.4TB
37,1.3 JTDM
38,1.6JTDM
39,1.2TFSi
40,1.4TFSi
41,1.6TDi
42,2.0TDi
43,Including S-Line models
44,25TFSi
45,30TFSi
46,35TFSi
47,including S-Line
48,40TFSi
49,1.6i
50,1.4TDi
51,1.8i
52,1.9TDi.
53,1.9TDi
54,1.6FSi
55,2.0FSi 1.6TDi
56,1.8TFSi
57,1.0TFSi
58,1.5TFSi
59,2.0FSi
60,40TFSie
61,45TFSie
62,2.0i
63,2.4i
64,3.0i
65,2.5TDi
66,2.0TFSi
67,3.0TFSi
68,3.2TFSi
69,2.7TDi
70,3.0TDi
71,3.2FSi
72,1.8t
73,3.0i-V6
74,1.9Tdi
75,2.5Tdi.
76,2.8i
77,3.2
78,2.0Tdi
79,2.7Tdi
80,3.0Tdi
81,2.8TFSi
82,1.4TSi
83,1.8-20V Turbo
84,4.2i-V8
85,3.0i-V6 TFSi
86,3.0-V6 TFSI
87,1.8i Turbo
88,116i
89,118i
90,120i
91,125i
92,130i
93,135i
94,116d
95,118d
96,120d
97,123d
98,114i
99,114d
100,125d
101,M135i
102,M140i
103,218i
104,220i
105,228i
106,230i
107,218d
108,220d
109,225d
110,318is
111,323i
112,325i
113,324TD
114,320i
115,328i
116,318i
117,316i
118,318TDs
119,325TD
120,325TDs
121,318
122,318Ci
123,320Ci
124,323Ci
125,325Ci
126,330Ci
127,320Cd
128,330Cd
129,316Ti
130,318Ti
131,325Ti
132,318TD
133,320TD
134,330i
135,318d
136,320d
137,330d
138,320(s)i
139,316d
140,320si
141,325d
142,335i
143,335d
144,418i
145,420i
146,428i
147,418d
148,420d
149,430i
150,435i
151,440i
152,425d
153,430d
154,435d
155,520i
156,523i
157,525i
158,530i
159,520d
160,525D
161,530D
162,535i
163,540i
164,545i
165,550i
166,525d
167,530d
168,535d
169,1.6t
170,2.0t
171,4.4i
172,3.2i
173,4.9i-V8
174,2.8
175,3.0
176,1.9i
177,2.2
178,2.2i
179,2.5i
180,2.5t
181,3.0t
182,1.6D
183,2.0D
184,1.0
185,1.1
186,1.4
187,1.4 GTi
188,1.4 16V
189,1.6 VTI
190,1.6 THP
191,1.6 HDI
192,2.0 HDI
193,1.0i
194,1.1i
195,1.5d
196,1.6i-8V
197,1.6i-16V
198,1.9D
199,1.9TD
200,2.0i VTS
201,1.3i
202,1.4t
203,0.9i
204,1.2i
205,1.3 MultiJet & 1.4 Turbo
206,2.0 20V
207,2.0 16V Turbo
208,2.0 20V Turbo
209,1.4T Abarth
210,1.2
211,1.3 Multijet. 1.4 100hp
212,55
213,60
214,75
215,85
216,90
217,1.4 GT Turbo
218,1.7TD
219,1.2-16V SporTing-Speedgear
220,1.3 JTD
221,1.9 D
222,1.6d
223,1.8d
224,2.0d
225,1.25i
226,1.4d
227,2.0i-16V ST150
228,1.5i
229,1.6-16V
230,2.0-16V
231,2.0TDCi
232,Ka II 1.2
233,1.3TDCi
234,2.3T Ecoboost
235,3.7-V6
236,5.0-V8
237,2.0 Turbo
238,All V6 & V8
239,5.2-V8
240,2.2i-DTEC
241,2.2CTDi
242,2.4
243,3.0 V6
244,2.2 CDTi
245,1.3i. 1.4i
246,1.7d
247,2.2CDi
248,2.0i-16V
249,15.i
250,1.6Dtec
251,1.0T
252,2.0i. 1.6TDi
253,2.2TDi
254,1.5TDi
255,2.3i
256,1.8-16V
257,1.3 RoTary
258,2.2d
259,2.5d
260,2.3-16V
261,2.5-16V
262,1.6T
263,2.0T
264,1.5cdi
265,1.8cdi
266,2.2cdi
267,1.6k
268,1.8k
269,1.8T 2.5i
270,2.1cdi
271,3.0cdi
272,1.5T
273,3.0T
274,1.6cdi
275,2.0cdi
276,C180
277,C200
278,C200K
279,C220
280,C230K
281,C200D
282,C220D
283,C280
284,C250D
285,C250TD
286,C230
287,C220CDI
288,C240
289,2.6i
290,2.1d
291,2.7d
292,3.0d
293,3.6i-24v V6
294,4.2i 24v V8
295,3.5i
296,5.0i
297,V8
298,3.2cdi
299,5.4i-24v V8
300,2.7cdi
301,2.0k
