ID,Title,Content,"Short Description",Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Product Type","Shipping Class","Product Visibility","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Brands,"Product categories","Product Tags",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating",Children
65,"Koni Heavy Track Dampers VAG-HT1611 for Volkswagen Amarok Pick Up  RWD (2009 - 2020)","Koni Heavy Track Dampers VAG-HT1611 for Volkswagen Amarok Pick Up RWD (2009 - 2020)",,2025-03-07,product,https://t4p.elate-ecommerce.com/product/koni-heavy-track-dampers-vag-ht1611-for-volkswagen-amarok-pick-up-rwd-2009-2020/,0,T4P-1-VAG-HT1611,200,200,,instock,,,28,simple,,,,,,,,,,,Uncategorized,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-heavy-track-dampers-vag-ht1611-for-volkswagen-amarok-pick-up-rwd-2009-2020,,,0,0,open,closed,2025-03-10,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,taxable,standard,,,9.7.1,,,0,0,
66,"Koni Heavy Track Dampers VAG-HT1611 for Volkswagen Amarok Pick Up  4WD 4X4(2009 - 2020)","Koni Heavy Track Dampers VAG-HT1611 for Volkswagen Amarok Pick Up 4WD 4X4(2009 - 2020)",,2025-03-07,product,https://t4p.elate-ecommerce.com/product/koni-heavy-track-dampers-vag-ht1611-for-volkswagen-amarok-pick-up-4wd-4x42009-2020/,0,T4P-2-VAG-HT1611,800,800,,instock,,,88,simple,,,,,,,,,,,Uncategorized,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-heavy-track-dampers-vag-ht1611-for-volkswagen-amarok-pick-up-4wd-4x42009-2020,,,0,0,open,closed,2025-03-10,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,taxable,standard,,,9.7.1,,,0,0,
79,"Koni STR.T Dampers VAG-ST1239 for Audi A3 Cabriolet (8V) FWD (2014 - 2019)","Koni STR.T Dampers VAG-ST1239 for Audi A3 Cabriolet (8V) FWD (2014 - 2019)",,2025-03-08,product,https://t4p.elate-ecommerce.com/product/koni-str-t-dampers-vag-st1239-for-audi-a3-cabriolet-8v-fwd-2014-2019/,0,T4P-1-VAG-ST1239,500,500,,instock,,,0,simple,,,,,,,,,,,Uncategorized,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-str-t-dampers-vag-st1239-for-audi-a3-cabriolet-8v-fwd-2014-2019,,,0,0,open,closed,2025-03-08,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,9.7.1,,,0,0,
80,"Koni STR.T Dampers VAG-ST1239 for Audi A3 Cabriolet (8V) 4WD  Quattro(2014 - 2019)","Koni STR.T Dampers VAG-ST1239 for Audi A3 Cabriolet (8V) 4WD  Quattro(2014 - 2019)",,2025-03-08,product,https://t4p.elate-ecommerce.com/product/koni-str-t-dampers-vag-st1239-for-audi-a3-cabriolet-8v-4wd-quattro2014-2019/,0,T4P-2-VAG-ST1239,500,500,,instock,,,0,simple,,,,,,,,,,,Uncategorized,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-str-t-dampers-vag-st1239-for-audi-a3-cabriolet-8v-4wd-quattro2014-2019,,,0,0,open,closed,2025-03-08,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,9.7.1,,,0,0,
81,"Koni STR.T Dampers VAG-ST1239 for Audi A3 Hatchback (8V) FWD (2012 - 2019)","Koni STR.T Dampers VAG-ST1239 for Audi A3 Hatchback (8V) FWD (2012 - 2019)",,2025-03-08,product,https://t4p.elate-ecommerce.com/product/koni-str-t-dampers-vag-st1239-for-audi-a3-hatchback-8v-fwd-2012-2019/,0,T4P-3-VAG-ST1239,500,500,,instock,,,0,simple,,,,,,,,,,,Uncategorized,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-str-t-dampers-vag-st1239-for-audi-a3-hatchback-8v-fwd-2012-2019,,,0,0,open,closed,2025-03-08,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,9.7.1,,,0,0,
82,"Koni STR.T Dampers VAG-ST1239 for Audi A3 Hatchback (8V) 4WD  Quattro(2012 - 2019)","Koni STR.T Dampers VAG-ST1239 for Audi A3 Hatchback (8V) 4WD  Quattro(2012 - 2019)",,2025-03-08,product,https://t4p.elate-ecommerce.com/product/koni-str-t-dampers-vag-st1239-for-audi-a3-hatchback-8v-4wd-quattro2012-2019/,0,T4P-4-VAG-ST1239,500,500,,instock,,,0,simple,,,,,,,,,,,Uncategorized,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-str-t-dampers-vag-st1239-for-audi-a3-hatchback-8v-4wd-quattro2012-2019,,,0,0,open,closed,2025-03-08,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,9.7.1,,,0,0,
83,"Koni STR.T Dampers VAG-ST1239 for Audi A3 Saloon (8V) FWD (2012 - 2019)","Koni STR.T Dampers VAG-ST1239 for Audi A3 Saloon (8V) FWD (2012 - 2019)",,2025-03-08,product,https://t4p.elate-ecommerce.com/product/koni-str-t-dampers-vag-st1239-for-audi-a3-saloon-8v-fwd-2012-2019/,0,T4P-5-VAG-ST1239,500,500,,instock,,,0,simple,,,,,,,,,,,Uncategorized,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-str-t-dampers-vag-st1239-for-audi-a3-saloon-8v-fwd-2012-2019,,,0,0,open,closed,2025-03-08,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,9.7.1,,,0,0,
84,"Koni STR.T Dampers VAG-ST1239 for Audi A3 Saloon (8V) 4WD  Quattro(2012 - 2019)","Koni STR.T Dampers VAG-ST1239 for Audi A3 Saloon (8V) 4WD  Quattro(2012 - 2019)",,2025-03-08,product,https://t4p.elate-ecommerce.com/product/koni-str-t-dampers-vag-st1239-for-audi-a3-saloon-8v-4wd-quattro2012-2019/,0,T4P-6-VAG-ST1239,500,500,,instock,,,0,simple,,,,,,,,,,,Uncategorized,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-str-t-dampers-vag-st1239-for-audi-a3-saloon-8v-4wd-quattro2012-2019,,,0,0,open,closed,2025-03-08,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,9.7.1,,,0,0,
85,"Koni STR.T Dampers VAG-ST1239 for Audi A3 Sportback (8V) FWD (2012 - 2019)","Koni STR.T Dampers VAG-ST1239 for Audi A3 Sportback (8V) FWD (2012 - 2019)",,2025-03-08,product,https://t4p.elate-ecommerce.com/product/koni-str-t-dampers-vag-st1239-for-audi-a3-sportback-8v-fwd-2012-2019/,0,T4P-7-VAG-ST1239,500,500,,instock,,,0,simple,,,,,,,,,,,Uncategorized,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-str-t-dampers-vag-st1239-for-audi-a3-sportback-8v-fwd-2012-2019,,,0,0,open,closed,2025-03-08,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,9.7.1,,,0,0,
86,"Koni STR.T Dampers VAG-ST1239 for Audi A3 Sportback (8V) 4WD  Quattro(2012 - 2019)","Koni STR.T Dampers VAG-ST1239 for Audi A3 Sportback (8V) 4WD  Quattro(2012 - 2019)",,2025-03-08,product,https://t4p.elate-ecommerce.com/product/koni-str-t-dampers-vag-st1239-for-audi-a3-sportback-8v-4wd-quattro2012-2019/,0,T4P-8-VAG-ST1239,500,500,,instock,,,0,simple,,,,,,,,,,,Uncategorized,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-str-t-dampers-vag-st1239-for-audi-a3-sportback-8v-4wd-quattro2012-2019,,,0,0,open,closed,2025-03-08,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,9.7.1,,,0,0,
