ID,Title,Content,"Short Description",Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Product Type","Shipping Class","Product Visibility","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Brands,"Product categories","Product Tags",Make,Model,Listing,Year,Engine,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating",Children
10388,"Alfa Romeo test 156 Saloon 4 cyl models, excl. 1.9JTD & 2.0 JTS","The next generation of premium shock absorbers that offer superior handling without compromise. It is the latest advancement in the KONIproduct portfolio. Utilizing the most recent generation of KONI’s patented Frequency Selective Damping technology, it controls large body motions and cornering forces but smooths expansion joints and rough roads for improved comfort.

Two characteristics that seemed diametrically- opposed, proved to be a source of inspiration for specialists from KONI. Following lengthy development and testing, the ultimate solution was reached: KONI FSD – Frequency Selective Damping.

A revolutionary technique whereby the benefits of both types of ride characteristics are combined in one perfect shock absorber. Banishing the disadvantages of the past. Special-Active shock absorbers; a smart suspension system adjusting automatically to road conditions as well as driving style. And all of this in a fraction of a second. Special-Active guarantees greater stability, greater control and thus greater driving pleasure. Koni Special-Active dampers are used by many vehicle manufacturers to enhance the suspension of their top models, these include, Mercedes, Alfa Rome, Abarth, Vauxhall/Opel and even Lamborghini. To learn more about how the FSD feature in each damper works, click here.","The next generation of premium shock absorbers that offer superior handling without compromise. It is the latest advancement in the KONI product portfolio. Utilizing the most recent generation of KONI’s patented Frequency Selective.... Damping technology, it controls large body motions and cornering forces but smooths expansion joints and rough roads for improved comfort.",1970-01-01,product,https://t4p.elate-ecommerce.com/?post_type=product&p=10388,0,,,,,instock,,,0,simple,,,,,,,,,,,Uncategorized,,,,,,,draft,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,,,,0,0,closed,closed,2025-06-17,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,taxable,standard,,,9.9.4,,,0,0,
12747,"Koni/Apex Active Kit - 1135-0542A","<ul>
  <li>Koni/Apex Active Kit - 1135-0542A Kits (Part No</li>
  <li>1135-0542A)</li>
  <li>Front lowering: 25-30mm</li>
  <li>Front axle load as from 771 kg</li>
  <li>Inclusions: Incl</li>
  <li>Turismo, Pista, Trofeo & Competizione</li>
  <li>Notes: 1,2,13,28</li>
  <li>Compatible with 6 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex Active Kit - 1135-0542A kits – fits 6+ vehicles. PN 1135-0542A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-active-kit-1135-0542a/,0,1135-0542A,677.28,677.28,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-active-kit-1135-0542a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12748,"Koni/Apex Active Black Kit - 1135-0542B","<ul>
  <li>Koni/Apex Active Black Kit - 1135-0542B Kits (Part No</li>
  <li>1135-0542B)</li>
  <li>Front lowering: Nil mm</li>
  <li>Front axle load as from 771 kg</li>
  <li>Inclusions: Incl</li>
  <li>Turismo, Pista, Trofeo & Competizione</li>
  <li>Notes: 1,2,13,28</li>
  <li>Compatible with 4 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex Active Black Kit - 1135-0542B kits – fits 4+ vehicles. PN 1135-0542B.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-active-black-kit-1135-0542b/,0,1135-0542B,677.28,677.28,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-active-black-kit-1135-0542b,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12749,"Koni/Apex STR.T Kit - 1120-0542A","<ul>
  <li>Koni/Apex STR.T Kit - 1120-0542A Kits (Part No</li>
  <li>1120-0542A)</li>
  <li>Front lowering: 25-30mm</li>
  <li>Front axle load as from 771 kg</li>
  <li>Inclusions: Incl</li>
  <li>Turismo, Pista, Trofeo & Competizione</li>
  <li>Notes: 1,2,13,29</li>
  <li>Compatible with 6 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex STR.T Kit - 1120-0542A kits – fits 6+ vehicles. PN 1120-0542A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-str-t-kit-1120-0542a/,0,1120-0542A,548.76,548.76,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-str-t-kit-1120-0542a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12750,"Koni/Apex STR.T Black Kit - 1120-0542B","<ul>
  <li>Koni/Apex STR.T Black Kit - 1120-0542B Kits (Part No</li>
  <li>1120-0542B)</li>
  <li>Front lowering: Nil</li>
  <li>Front axle load as from 771 kg</li>
  <li>Inclusions: Incl</li>
  <li>Turismo, Pista, Trofeo & Competizione</li>
  <li>Notes: 1,2,13,29</li>
  <li>Compatible with 4 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex STR.T Black Kit - 1120-0542B kits – fits 4+ vehicles. PN 1120-0542B.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-str-t-black-kit-1120-0542b/,0,1120-0542B,548.76,548.76,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-str-t-black-kit-1120-0542b,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12751,"Koni/HR STR.T Kit - 1120-0542","<ul>
  <li>Koni/HR STR.T Kit - 1120-0542 Kits (Part No</li>
  <li>1120-0542)</li>
  <li>Front lowering: 25-30mm</li>
  <li>Front axle load as from 771 kg</li>
  <li>Inclusions: Incl</li>
  <li>Turismo, Pista, Trofeo & Competizione</li>
  <li>Notes: 1,2,13,29</li>
  <li>Compatible with 6 vehicle variants (see fitment list)</li>
</ul>","Koni/HR STR.T Kit - 1120-0542 kits – fits 6+ vehicles. PN 1120-0542.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-hr-str-t-kit-1120-0542/,0,1120-0542,653.82,653.82,,instock,,,0,simple,,,,,,,,,,H&amp;R|Koni,H&amp;R|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-hr-str-t-kit-1120-0542,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12752,"Koni/HR STR.T Kit - 1120-3601","<ul>
  <li>Koni/HR STR.T Kit - 1120-3601 Kits (Part No</li>
  <li>1120-3601)</li>
  <li>Front lowering: 35mm</li>
  <li>Front axle load up to 980 kg</li>
  <li>Notes: 1,2,13</li>
  <li>Compatible with 2 vehicle variants (see fitment list)</li>
</ul>","Koni/HR STR.T Kit - 1120-3601 kits – fits 2+ vehicles. PN 1120-3601.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-hr-str-t-kit-1120-3601/,0,1120-3601,697.68,697.68,,instock,,,0,simple,,,,,,,,,,H&amp;R|Koni,H&amp;R|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-hr-str-t-kit-1120-3601,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12753,"Koni/HR Sport Kit - 1140-3601","<ul>
  <li>Koni/HR Sport Kit - 1140-3601 Kits (Part No</li>
  <li>1140-3601)</li>
  <li>Front lowering: 35mm</li>
  <li>Front axle load up to 980 kg</li>
  <li>Notes: 1,2,13,16</li>
  <li>Compatible with 2 vehicle variants (see fitment list)</li>
</ul>","Koni/HR Sport Kit - 1140-3601 kits – fits 2+ vehicles. PN 1140-3601.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-hr-sport-kit-1140-3601/,0,1140-3601,1040.4,1040.4,,instock,,,0,simple,,,,,,,,,,H&amp;R|Koni,H&amp;R|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-hr-sport-kit-1140-3601,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12754,"Koni/HR STR.T Kit - 1120-3602","<ul>
  <li>Koni/HR STR.T Kit - 1120-3602 Kits (Part No</li>
  <li>1120-3602)</li>
  <li>Front lowering: 35mm</li>
  <li>Front axle load as from 981 kg</li>
  <li>Notes: 1,2,13</li>
  <li>Compatible with 2 vehicle variants (see fitment list)</li>
</ul>","Koni/HR STR.T Kit - 1120-3602 kits – fits 2+ vehicles. PN 1120-3602.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-hr-str-t-kit-1120-3602/,0,1120-3602,697.68,697.68,,instock,,,0,simple,,,,,,,,,,H&amp;R|Koni,H&amp;R|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-hr-str-t-kit-1120-3602,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12755,"Koni/HR Sport Kit - 1140-3602","<ul>
  <li>Koni/HR Sport Kit - 1140-3602 Kits (Part No</li>
  <li>1140-3602)</li>
  <li>Front lowering: 35mm</li>
  <li>Front axle load as from 981 kg</li>
  <li>Notes: 1,2,13,16</li>
  <li>Compatible with 2 vehicle variants (see fitment list)</li>
</ul>","Koni/HR Sport Kit - 1140-3602 kits – fits 2+ vehicles. PN 1140-3602.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-hr-sport-kit-1140-3602/,0,1140-3602,1040.4,1040.4,,instock,,,0,simple,,,,,,,,,,H&amp;R|Koni,H&amp;R|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-hr-sport-kit-1140-3602,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
