product_id,product_title,part_number,product_name,category,variant,vehicle_id
1,Koni Active Dampers – Front Left Side – Part No. 8245-1441,8245-1441,Koni Active Dampers,Damper,Front-Left-Side,1|875
2,Koni Active Dampers – Rear Left Side – Part No. 8245-1442,8245-1442,Koni Active Dampers,Damper,Rear-Left-Side,1|875
3,Koni Active Dampers – Full Set of 4 Dampers – Part No. FI-SA1062,FI-SA1062,Koni Active Dampers,Damper,Full Set ( 4 dampers ),1|875
4,Koni Sport Dampers – Front Left Side – Part No. 8241-1304SPORT,8241-1304SPORT,Koni Sport Dampers,Damper,Front-Left-Side,1|547|875
5,Koni Sport Dampers – Rear Left Side – Part No. 8241-1305SPORT,8241-1305SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,1|547|875
6,Koni Sport Dampers – Full Set of 4 Dampers – Part No. FI-SP1062,FI-SP1062,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),1|547|875
7,Koni Active Dampers – Front Left Side – Part No. 8745-1247L,8745-1247L,Koni Active Dampers,Damper,Front-Left-Side,2|3|4|5|6|7|548|550|638
8,Koni Active Dampers – Front Right Side – Part No. 8745-1247R,8745-1247R,Koni Active Dampers,Damper,Front-Right-Side,2|3|4|5|6|7|548|550|638
9,Koni Active Dampers – Rear Left Side – Part No. 8045-1248,8045-1248,Koni Active Dampers,Damper,Rear-Left-Side,2|3|4|5|6|7|548|550|638
10,Koni Active Dampers – Full Set of 4 Dampers – Part No. FI-SA1229,FI-SA1229,Koni Active Dampers,Damper,Full Set ( 4 dampers ),2|3|4|5|6|7|548|550
11,Koni STR.T Dampers – Front Left Side – Part No. 8750-1127L,8750-1127L,Koni STR.T Dampers,Damper,Front-Left-Side,2|3|4|5|6|7|548|550|638
12,Koni STR.T Dampers – Front Right Side – Part No. 8750-1127R,8750-1127R,Koni STR.T Dampers,Damper,Front-Right-Side,2|3|4|5|6|7|548|550|638
13,Koni STR.T Dampers – Rear Left Side – Part No. 8050-1146,8050-1146,Koni STR.T Dampers,Damper,Rear-Left-Side,2|3|4|5|6|7|548|550|638
14,Koni STR.T Dampers – Full Set of 4 Dampers – Part No. FI-ST1229,FI-ST1229,Koni STR.T Dampers,Damper,Full Set ( 4 dampers ),2|3|4|5|6|7|548|550
15,Koni Sport Dampers – Front Left Side – Part No. 8041-1257SPORT,8041-1257SPORT,Koni Sport Dampers,Damper,Front-Left-Side,8|13
16,Koni Sport Dampers – Rear Left Side – Part No. 8041-1258SPORT,8041-1258SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,8|13
17,Koni Sport Dampers – Full Set of 4 Dampers – Part No. HO-SP1532,HO-SP1532,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),8|13
18,Koni STR.T Dampers – Front Left Side – Part No. 8050-1011,8050-1011,Koni STR.T Dampers,Damper,Front-Left-Side,9|10|11|699|700|701|702|703|704|734|735|738|739
19,Koni STR.T Dampers – Rear Left Side – Part No. 8050-1012,8050-1012,Koni STR.T Dampers,Damper,Rear-Left-Side,9|10|11|695|699|700|701|734|738|739
20,Koni STR.T Dampers – Full Set of 4 Dampers – Part No. HO-ST1018,HO-ST1018,Koni STR.T Dampers,Damper,Full Set ( 4 dampers ),9|10|11|699|700|701|734|738|739
21,Koni Sport Dampers – Front Left Side – Part No. 8041-1152SPORT,8041-1152SPORT,Koni Sport Dampers,Damper,Front-Left-Side,9|10|11|699|700|701|702|703|704|734|735|738|739
22,Koni Sport Dampers – Rear Left Side – Part No. 8041-1153SPORT,8041-1153SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,9|10|695|699|700|701|734|738
23,Koni Sport Dampers – Full Set of 4 Dampers – Part No. HO-SP1018,HO-SP1018,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),9|10|699|700|701|734|738
24,Koni Sport Dampers – Rear Left Side – Part No. 8041-1164SPORT,8041-1164SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,11|694|699|700|734|739
25,Koni Sport Dampers – Full Set of 4 Dampers – Part No. HO-SP1019,HO-SP1019,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),11|699|700|734|739
26,Koni Sport Dampers – Front Left Side – Part No. 8610-1415SPORT,8610-1415SPORT,Koni Sport Dampers,Damper,Front-Left-Side,12|714|715|716|717|718|720|721|729
27,Koni Sport Dampers – Rear Left Side – Part No. 8010-1050SPORT,8010-1050SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,12|714|715|716|717|718|719|720|721|729
28,Koni Sport Dampers – Full Set of 4 Dampers – Part No. HO-SP1089,HO-SP1089,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),12|714|715|716|717|718|720|721|729
29,Koni Sport Dampers – Front Left Side – Part No. 8041-1322LSPORT,8041-1322LSPORT,Koni Sport Dampers,Damper,Front-Left-Side,14|15|692|693
30,Koni Sport Dampers – Front Right Side – Part No. 8041-1322RSPORT,8041-1322RSPORT,Koni Sport Dampers,Damper,Front-Right-Side,14|15|692|693
31,Koni Sport Dampers – Rear Left Side – Part No. 8041-1329SPORT,8041-1329SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,14|15|692
