part_number,brand,product_category,koni_product,position,front_lowering,rear_lowering,axle_weights,incl,excl,remarks,notes,vehicle_ids,description,short_description
1135-0542A,Koni|Apex,Kits,Koni/Apex Active Kit,,25-30mm,,Front axle load as from 771 kg,"Incl. Turismo, Pista, Trofeo & Competizione",,,"1,2,13,28",1|2|4|5|167|168,"Koni/Apex Active Kit Kits (Part No. 1135-0542A). Front lowering: 25-30mm. Front axle load as from 771 kg. Inclusions: Incl. Turismo, Pista, Trofeo & Competizione. Notes: 1,2,13,28. Compatible with 6 vehicle variants (see fitment list)..",Koni/Apex Active Kit kits – fits 6+ vehicles. PN 1135-0542A.
1135-0542B,Koni|Apex,Kits,Koni/Apex Active Black Kit,,Nil mm,,Front axle load as from 771 kg,"Incl. Turismo, Pista, Trofeo & Competizione",,,"1,2,13,28",1|3|4|6,"Koni/Apex Active Black Kit Kits (Part No. 1135-0542B). Front lowering: Nil mm. Front axle load as from 771 kg. Inclusions: Incl. Turismo, Pista, Trofeo & Competizione. Notes: 1,2,13,28. Compatible with 4 vehicle variants (see fitment list)..",Koni/Apex Active Black Kit kits – fits 4+ vehicles. PN 1135-0542B.
1120-0542A,Koni|Apex,Kits,Koni/Apex STR.T Kit,,25-30mm,,Front axle load as from 771 kg,"Incl. Turismo, Pista, Trofeo & Competizione",,,"1,2,13,29",1|2|4|5|167|168,"Koni/Apex STR.T Kit Kits (Part No. 1120-0542A). Front lowering: 25-30mm. Front axle load as from 771 kg. Inclusions: Incl. Turismo, Pista, Trofeo & Competizione. Notes: 1,2,13,29. Compatible with 6 vehicle variants (see fitment list)..",Koni/Apex STR.T Kit kits – fits 6+ vehicles. PN 1120-0542A.
1120-0542B,Koni|Apex,Kits,Koni/Apex STR.T Black Kit,,Nil,,Front axle load as from 771 kg,"Incl. Turismo, Pista, Trofeo & Competizione",,,"1,2,13,29",1|2|4|5,"Koni/Apex STR.T Black Kit Kits (Part No. 1120-0542B). Front lowering: Nil. Front axle load as from 771 kg. Inclusions: Incl. Turismo, Pista, Trofeo & Competizione. Notes: 1,2,13,29. Compatible with 4 vehicle variants (see fitment list)..",Koni/Apex STR.T Black Kit kits – fits 4+ vehicles. PN 1120-0542B.
1120-0542,Koni|H&R,Kits,Koni/HR STR.T Kit,,25-30mm,,Front axle load as from 771 kg,"Incl. Turismo, Pista, Trofeo & Competizione",,,"1,2,13,29",1|2|4|5|167|168,"Koni/HR STR.T Kit Kits (Part No. 1120-0542). Front lowering: 25-30mm. Front axle load as from 771 kg. Inclusions: Incl. Turismo, Pista, Trofeo & Competizione. Notes: 1,2,13,29. Compatible with 6 vehicle variants (see fitment list)..",Koni/HR STR.T Kit kits – fits 6+ vehicles. PN 1120-0542.
1120-3601,Koni|H&R,Kits,Koni/HR STR.T Kit,,35mm,,Front axle load up to 980 kg,,,Excl. 3.2 V6,"1,2,13",7|16,"Koni/HR STR.T Kit Kits (Part No. 1120-3601). Front lowering: 35mm. Front axle load up to 980 kg. Notes: 1,2,13. Compatible with 2 vehicle variants (see fitment list)..",Koni/HR STR.T Kit kits – fits 2+ vehicles. PN 1120-3601.
1140-3601,Koni|H&R,Kits,Koni/HR Sport Kit,,35mm,,Front axle load up to 980 kg,,,Excl. 3.2 V6,"1,2,13,16",7|16,"Koni/HR Sport Kit Kits (Part No. 1140-3601). Front lowering: 35mm. Front axle load up to 980 kg. Notes: 1,2,13,16. Compatible with 2 vehicle variants (see fitment list)..",Koni/HR Sport Kit kits – fits 2+ vehicles. PN 1140-3601.
1120-3602,Koni|H&R,Kits,Koni/HR STR.T Kit,,35mm,,Front axle load as from 981 kg,,,Excl. 3.2 V6,"1,2,13",7|16,"Koni/HR STR.T Kit Kits (Part No. 1120-3602). Front lowering: 35mm. Front axle load as from 981 kg. Notes: 1,2,13. Compatible with 2 vehicle variants (see fitment list)..",Koni/HR STR.T Kit kits – fits 2+ vehicles. PN 1120-3602.
1140-3602,Koni|H&R,Kits,Koni/HR Sport Kit,,35mm,,Front axle load as from 981 kg,,,Excl. 3.2 V6,"1,2,13,16",7|16,"Koni/HR Sport Kit Kits (Part No. 1140-3602). Front lowering: 35mm. Front axle load as from 981 kg. Notes: 1,2,13,16. Compatible with 2 vehicle variants (see fitment list)..",Koni/HR Sport Kit kits – fits 2+ vehicles. PN 1140-3602.
1140-3603,Koni|H&R,Kits,Koni/HR Sport Kit,,35mm,,,,,,"1,2,13,16",8|16,"Koni/HR Sport Kit Kits (Part No. 1140-3603). Front lowering: 35mm. Notes: 1,2,13,16. Compatible with 2 vehicle variants (see fitment list)..",Koni/HR Sport Kit kits – fits 2+ vehicles. PN 1140-3603.
